                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.419,                 4.1748,                 1.2092,                0.08516,                0.51438,                0.09083,                0.06889,                0.96582,                 3.1356,                 1.0035,             0.00011837,             0.00011837,             0.00011837
                      2,                  1.235,                 2.9089,                 1.1117,                0.16264,                0.43177,                0.16778,                0.12737,                0.93896,                 2.3466,                 1.0048,             0.00023214,             0.00023214,             0.00023214
                      3,                 1.1547,                 2.3603,                  1.082,                0.21665,                0.48708,                0.24359,                0.18304,                0.91487,                 1.9894,                0.98195,             0.00034069,             0.00034069,             0.00034069
                      4,                 1.0874,                 2.0723,                 1.0556,                0.32162,                0.57299,                0.36358,                0.26105,                 1.0354,                 1.7341,                 1.0162,             0.00033344,             0.00033344,             0.00033344
                      5,                 1.0608,                 1.9253,                 1.0478,                0.39242,                0.57623,                0.44197,                 0.3434,                0.82603,                 1.6149,                0.95749,             0.00032558,             0.00032558,             0.00032558
                      6,                 1.0355,                  1.821,                 1.0326,                0.44273,                0.60546,                0.51035,                0.39156,                0.86909,                 1.4729,                0.96735,             0.00031773,             0.00031773,             0.00031773
                      7,                 1.0228,                  1.735,                 1.0292,                0.39036,                0.58796,                0.47368,                0.34682,                0.96221,                 1.5666,                0.99828,             0.00030988,             0.00030988,             0.00030988
                      8,                 1.0224,                 1.6576,                  1.027,                0.52259,                0.62749,                0.59412,                0.45183,                0.88713,                 1.3339,                0.97115,             0.00030202,             0.00030202,             0.00030202
                      9,                  1.003,                 1.5976,                 1.0154,                0.53265,                0.63245,                0.60207,                 0.4559,                0.88908,                 1.3329,                0.96403,             0.00029417,             0.00029417,             0.00029417
                     10,                 0.9958,                 1.5377,                 1.0156,                0.49309,                0.61896,                0.57619,                0.45325,                0.78559,                 1.3389,                0.94235,             0.00028631,             0.00028631,             0.00028631
                     11,                0.99156,                 1.4841,                 1.0127,                0.64734,                0.67963,                0.71646,                0.56789,                0.77802,                  1.126,                0.93707,             0.00027846,             0.00027846,             0.00027846
                     12,                0.97672,                 1.4249,                 1.0073,                0.67903,                0.70777,                0.75082,                0.58843,                0.80598,                 1.0646,                 0.9429,             0.00027061,             0.00027061,             0.00027061
                     13,                 0.9701,                 1.3755,                 1.0012,                0.71828,                 0.7188,                0.78381,                 0.6094,                 0.8413,                 1.0173,                0.95156,             0.00026275,             0.00026275,             0.00026275
                     14,                0.97063,                 1.3379,                 1.0053,                0.74361,                0.73443,                0.80396,                0.63066,                0.81425,                0.97463,                0.94258,              0.0002549,              0.0002549,              0.0002549
                     15,                0.96405,                 1.2949,                0.99737,                0.76719,                0.74061,                0.82824,                0.64657,                0.83092,                0.94332,                0.94727,             0.00024704,             0.00024704,             0.00024704
                     16,                0.96125,                 1.2627,                0.99613,                0.77012,                0.73959,                0.82338,                0.64837,                0.80272,                0.93713,                  0.941,             0.00023919,             0.00023919,             0.00023919
                     17,                 0.9554,                 1.2308,                 0.9945,                0.79959,                0.77009,                 0.8583,                0.68653,                0.75898,                0.86461,                0.92429,             0.00023134,             0.00023134,             0.00023134
                     18,                0.94936,                 1.1956,                0.99084,                0.82034,                0.78069,                0.87213,                0.68637,                0.80743,                0.83909,                0.93301,             0.00022348,             0.00022348,             0.00022348
                     19,                0.94517,                 1.1688,                0.99266,                0.82993,                0.79124,                0.88514,                0.70047,                  0.791,                0.80392,                0.92683,             0.00021563,             0.00021563,             0.00021563
                     20,                 0.9491,                 1.1531,                0.99339,                0.84709,                0.80358,                0.89528,                0.71911,                 0.7441,                0.77314,                0.91721,             0.00020777,             0.00020777,             0.00020777
                     21,                0.94497,                 1.1209,                0.98722,                0.85237,                0.80432,                0.89735,                0.69213,                0.86074,                0.78122,                0.94116,             0.00019992,             0.00019992,             0.00019992
                     22,                0.93869,                 1.0975,                0.98491,                0.85132,                0.80199,                0.89789,                0.70105,                0.83058,                0.77497,                0.93715,             0.00019207,             0.00019207,             0.00019207
                     23,                0.93513,                 1.0907,                0.98323,                0.87022,                0.82062,                0.91201,                0.71041,                 0.8275,                0.73901,                0.94157,             0.00018421,             0.00018421,             0.00018421
                     24,                  0.932,                 1.0759,                0.98126,                0.86372,                0.81821,                0.91481,                0.72525,                0.78775,                0.74175,                0.92615,             0.00017636,             0.00017636,             0.00017636
                     25,                0.92412,                 1.0483,                0.97825,                0.88173,                0.82696,                0.92043,                0.73567,                0.75911,                0.70214,                0.92129,              0.0001685,              0.0001685,              0.0001685
                     26,                0.92281,                 1.0316,                0.98004,                0.88824,                0.83194,                0.92609,                 0.7424,                0.75468,                0.68618,                0.91538,             0.00016065,             0.00016065,             0.00016065
                     27,                0.91795,                 1.0261,                0.97681,                0.87296,                0.83178,                0.92161,                0.73339,                  0.784,                0.70838,                0.92385,              0.0001528,              0.0001528,              0.0001528
                     28,                0.91488,                  1.005,                0.97455,                0.89217,                0.84948,                0.93467,                0.75491,                0.73665,                0.66391,                0.90908,             0.00014494,             0.00014494,             0.00014494
                     29,                0.91267,                0.99764,                 0.9737,                0.89983,                0.84973,                0.93589,                0.75226,                0.75441,                0.65888,                0.91311,             0.00013709,             0.00013709,             0.00013709
                     30,                0.91493,                0.99529,                0.97374,                0.89925,                0.85255,                0.93719,                0.74084,                0.79657,                0.66041,                0.92459,             0.00012923,             0.00012923,             0.00012923
                     31,                0.90763,                0.98631,                 0.9705,                0.89043,                0.84826,                0.93461,                0.74952,                0.75843,                0.66453,                0.91383,             0.00012138,             0.00012138,             0.00012138
                     32,                0.90533,                0.97168,                0.96887,                0.90591,                0.85967,                0.94112,                0.75369,                0.75511,                0.63647,                0.91332,             0.00011353,             0.00011353,             0.00011353
                     33,                0.91184,                0.97029,                0.97099,                0.91001,                0.86492,                0.94435,                 0.7568,                0.75514,                0.62786,                0.91393,             0.00010567,             0.00010567,             0.00010567
                     34,                0.90225,                0.95609,                0.96827,                0.91172,                0.86692,                0.94607,                0.74726,                0.80265,                0.63009,                0.92398,             9.7818e-05,             9.7818e-05,             9.7818e-05
                     35,                0.90385,                0.95215,                0.96411,                0.91104,                 0.8671,                0.94617,                0.75386,                0.77411,                0.62327,                0.91833,             8.9964e-05,             8.9964e-05,             8.9964e-05
                     36,                0.82809,                0.76947,                 0.9539,                0.90032,                0.86246,                0.94265,                0.73735,                0.82981,                 0.6404,                0.92836,              8.211e-05,              8.211e-05,              8.211e-05
                     37,                0.82031,                0.74602,                0.94911,                0.91297,                0.87034,                0.94784,                0.76271,                 0.7467,                0.60736,                0.90945,             7.4256e-05,             7.4256e-05,             7.4256e-05
                     38,                0.81302,                0.73407,                0.94575,                0.91474,                0.87364,                0.95026,                0.77873,                0.69103,                0.59062,                0.89529,             6.6402e-05,             6.6402e-05,             6.6402e-05
                     39,                 0.8136,                0.73184,                0.94541,                0.92056,                0.87588,                0.95238,                 0.7675,                0.74293,                 0.5909,                 0.9049,             5.8548e-05,             5.8548e-05,             5.8548e-05
                     40,                  0.808,                 0.7216,                0.94457,                 0.9177,                 0.8782,                 0.9517,                0.76428,                0.74754,                0.59062,                0.90927,             5.0694e-05,             5.0694e-05,             5.0694e-05
                     41,                0.81061,                0.72081,                0.94335,                0.91738,                0.87855,                0.95301,                 0.7695,                0.73905,                0.58844,                0.90367,              4.284e-05,              4.284e-05,              4.284e-05
                     42,                0.80729,                0.71509,                0.94396,                0.91902,                0.88169,                0.95415,                0.76548,                0.75691,                0.58483,                0.90874,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     43,                0.80787,                0.71316,                0.94485,                0.92245,                0.87992,                0.95451,                0.77078,                0.73718,                0.57999,                0.90478,             2.7132e-05,             2.7132e-05,             2.7132e-05
                     44,                 0.8032,                0.70895,                0.94054,                0.92335,                0.87991,                0.95431,                0.77243,                  0.729,                0.57781,                0.90309,             1.9278e-05,             1.9278e-05,             1.9278e-05
                     45,                0.80086,                0.70743,                0.94197,                0.92195,                0.88547,                0.95585,                0.76988,                0.74537,                0.57507,                0.90563,             1.1424e-05,             1.1424e-05,             1.1424e-05
